artifact_id,pred_json
AUD-001,"{""L0_doc_id"": ""AUD-001"", ""L0_doc_kind"": ""เอกสารทางการ"", ""L0_template_name"": ""รายงานผลการตรวจสอบภายในประจ  าปี 2567"", ""L0_body_source"": ""สรุปผู้บริหาร (Executive Summary)\nผลการตรวจสอบในรอบปี 2567 พบว่าระบบควบคุมภายในส่วนใหญ่ท  างานได้ตามวัตถุประสงค์ทีก่  าหนด พบประเด็นเล็กน้อยเกีย่ วกับการบันทึกเอกสารคืนสินค้าที่\nต้องปรับปรุง\nขอบเขตและวิธีการ\nครอบคลุมกระบวนการคืนเงิน การเบิก-จ่ายเงินสด การจัดซ้อื และระบบ POS โดยใช้วิธีสุ่มตัวอย่างและสัมภาษณ์ผ้้รับผิดชอบ\nขูอสังเกตและขูอเสนอแนะ\nบันทึกข้อสังเกตทีพ่ บ พร้อมข้อเสนอแนะให้แต่ละหน่วยงานน  าไปด  าเนินการแก้ไขภายในกรอบเวลาทีก่  าหนด\nแผนติดตามผล\nฝ่ายตรวจสอบภายในจะติดตามผลการแก้ไขในรอบ 6 เดือนถัดไป และรายงานต่อคณะกรรมการตรวจสอบ"", ""L0_issue_date"": ""2024-12-20""}"
AUD-002,"{""L0_doc_id"": """", ""L0_doc_kind"": """", ""L0_template_name"": """", ""L0_body_source"": """", ""L0_issue_date"": """"}"
EMAIL-001,"{""L0_doc_id"": ""001.fahmai.2024-02-12@internal"", ""L0_doc_kind"": ""FAHMAI INTERNAL EMAIL — เอกสารระหว่างพนักงาน"", ""L0_template_name"": """", ""L0_body_source"": ""เรียน ผู้จัดการฝ่ายปฏิบัติการ\nขอขูอม้ลการเตรียมเอกสารและแผน mock-audit ก่อนวันตรวจจริง โปรดส่งกลับภายในวันศุกร์\nขัน้ ตอนถัดไป\nหากมีขูอสอบถามเพิม่ เติม โปรดตอบกลับอีเมลฉบับนีห้ รือติดต่อโดยตรงตามรายช่อื ทีร่ ะบุไวูในระบบ\nauditor\nFahMai Internal\nหน้า 1 / 1"", ""L0_issue_date"": ""2024-02-12""}"
EMAIL-002,"{""L0_doc_id"": ""002.fahmai.2024-05-20@internal"", ""L0_doc_kind"": ""email"", ""L0_template_name"": ""FAHMAI INTERNAL EMAIL — เอกสารระหว่างพนักงาน"", ""L0_body_source"": ""เรียน ทีมบริหาร\nนัดประชุมทบทวนผลครึง่ ปีแรกในวันที ่25 พ.ค. เวลา 09:30 ห้องประชุมใหญ่ ขอความร่วมมือยืนยันการเข้าร่วม\nขัน้ ตอนถัดไป\nหากมีข้อสอบถามเพิม่ เติม โปรดตอบกลับอีเมลฉบับนีห้ รือติดต่อโดยตรงตามรายช่อื ทีร่ ะบุไว้ในระบบ\nceo_office\nFahMai Internal\nหน้า 1 / 1"", ""L0_issue_date"": ""2024-05-20""}"
EMAIL-003,"{""L0_doc_id"": ""003.fahmai.2024-07-10@internal"", ""L0_doc_kind"": ""email"", ""L0_template_name"": """", ""L0_body_source"": ""FAHMAI INTERNAL EMAIL — เอกสารระหว่างพนักงาน\nFrom: finance@fahmai.co.th\nTo: retail_managers@fahmai.co.th\nDate: 2567-07-10\nSubject: ขอ้ขอูมลยอดขายเปีรยบเีทยบคึ่รงีปแรก\nMessage-ID:<003.fahmai.2024-07-10@internal>\nเรียน หัวหน้าสาขาทุกท่าน\nกรุณาส่งสรุปยอดขายเทียบ YoY มายังทีมการเงินภายในสิน้ เดือน เพ่อื น  าเสนอผ้้บริหาร\nขัน้ ตอนถัดไป\nหากมีข้อสอบถามเพิม่ เติม โปรดตอบกลับอีเมลฉบับนีห้ รือติดต่อโดยตรงตามรายช่อื ทีร่ ะบุไว้ในระบบ\nfinance\nFahMai Internal\nหน้า 1 / 1"", ""L0_issue_date"": ""2024-07-10""}"
EMAIL-004,"{""L0_doc_id"": ""004.fahmai.2024-09-25@internal"", ""L0_doc_kind"": ""FAHMAI INTERNAL EMAIL — เอกสารระหว่างพนักงาน"", ""L0_template_name"": """", ""L0_body_source"": ""เรียน พนักงานทุกท่าน\nทีม HR ขอเชิญทุกท่านตอบแบบส  ารวจความผูกพันองค์กรประจ  าปี ใช้เวลาประมาณ 10 นาที\nขัน้ ตอนถัดไป\nหากมีข้อสอบถามเพิม่ เติม โปรดตอบกลับอีเมลฉบับนีห้ รือติดต่อโดยตรงตามรายช่อื ทีร่ ะบุไว้ในระบบ\nhr\nFahMai Internal\nหน้า 1 / 1"", ""L0_issue_date"": ""2024-09-25""}"
EMAIL-005,"{""L0_doc_id"": ""005.fahmai.2024-11-05@internal"", ""L0_doc_kind"": ""email"", ""L0_template_name"": """", ""L0_body_source"": ""เรียน ผู้จัดการสาขา\nปรับ allocation ส  าหรับสาขาภาคใตูเพิม่ 15% ตามผลคาดการณ์ traffic โปรดยืนยันความพรูอม\nขัน้ ตอนถัดไป\nหากมีขูอสอบถามเพิม่ เติม โปรดตอบกลับอีเมลฉบับนีห้ รือติดต่อโดยตรงตามรายช่อื ทีร่ ะบุไวูในระบบ\nops\nFahMai Internal\nหน้า 1 / 1"", ""L0_issue_date"": ""2024-11-05""}"
EMAIL-006,"{""L0_doc_id"": ""006.fahmai.2025-01-22@internal"", ""L0_doc_kind"": ""email"", ""L0_template_name"": """", ""L0_body_source"": ""เรียน ผู้จัดการฝ่ายปฏิบัติการ\nเริม่ รอบตรวจสอบประจ  าปี 2568 สัปดาห์หนูา กรุณาเตรียม binder เอกสารตามทีก่  าหนด\nขัน้ ตอนถัดไป\nหากมีขูอสอบถามเพิม่ เติม โปรดตอบกลับอีเมลฉบับนีห้ รือติดต่อโดยตรงตามรายช่อื ทีร่ ะบุไวูในระบบ\nauditor\nFahMai Internal\nหน้า 1 / 1"", ""L0_issue_date"": ""2025-01-22""}"
EMAIL-007,"{""L0_doc_id"": ""007.fahmai.2025-03-25@internal"", ""L0_doc_kind"": ""FAHMAI INTERNAL EMAIL — เอกสารระหว่างพนักงาน"", ""L0_template_name"": """", ""L0_body_source"": ""เรียน ทีมโลจิสติกส์\nขอประชุมเตรียมแผนเปลีย่ นถ่ายเส้นทางขนส่งภายใน 2 สัปดาห์ ก่อนสัญญา V-014 หมดอายุ\nขัน้ ตอนถัดไป\nหากมีข้อสอบถามเพิม่ เติม โปรดตอบกลับอีเมลฉบับนีห้ รือติดต่อโดยตรงตามรายช่อื ทีร่ ะบุไว้ในระบบ\nprocurement\nFahMai Internal\nหน้า 1 / 1"", ""L0_issue_date"": ""2025-03-25""}"
EMAIL-008,"{""L0_doc_id"": ""008.fahmai.2025-05-15@internal"", ""L0_doc_kind"": ""email"", ""L0_template_name"": """", ""L0_body_source"": ""เรียน ผู้จัดการสาขา\nแผนเปิดตัว Care+ ในสาขาเริม่ 1 พ.ค. กรุณาเตรียมพ้นื ทีจ่ ัดเอกสารและฝึกพนักงาน\nขัน้ ตอนถัดไป\nหากมีขูอสอบถามเพิม่ เติม โปรดตอบกลับอีเมลฉบับนีห้ รือติดต่อโดยตรงตามรายช่อื ทีร่ ะบุไวูในระบบ\nretail_ops\nFahMai Internal\nหน้า 1 / 1"", ""L0_issue_date"": ""2025-05-15""}"
